ZEIT;RAUM;Reason;WERT
2006;43 Hafen;Birth surplus or deficit;0
2006;44 Herz-Jesu;Birth surplus or deficit;-71
2006;45 Mauritz-Mitte;Birth surplus or deficit;0
2006;46 Rumphorst;Birth surplus or deficit;34
2006;47 Uppenberg;Birth surplus or deficit;-5
2006;51 Gievenbeck;Birth surplus or deficit;114
2006;52 Sentrup;Birth surplus or deficit;-14
2006;54 Mecklenbeck;Birth surplus or deficit;-22
2006;56 Albachten;Birth surplus or deficit;22
2006;57 Roxel;Birth surplus or deficit;30
2006;58 Nienberge;Birth surplus or deficit;20
2006;61 Coerde;Birth surplus or deficit;59
2006;62 Kinderhaus-Ost;Birth surplus or deficit;-4
2006;63 Kinderhaus-West;Birth surplus or deficit;23
2006;68 Sprakel;Birth surplus or deficit;-5
2006;71 Mauritz-Ost;Birth surplus or deficit;-2
2006;76 Gelmer-Dyckburg;Birth surplus or deficit;12
2006;77 Handorf;Birth surplus or deficit;-9
2006;81 Gremmendorf-West;Birth surplus or deficit;18
2006;82 Gremmendorf-Ost;Birth surplus or deficit;11
2006;86 Angelmodde;Birth surplus or deficit;-6
2006;87 Wolbeck;Birth surplus or deficit;8
2006;91 Berg Fidel;Birth surplus or deficit;4
2006;95 Hiltrup-Ost;Birth surplus or deficit;-14
2006;96 Hiltrup-Mitte;Birth surplus or deficit;-28
2006;97 Hiltrup-West;Birth surplus or deficit;18
2006;98 Amelsbueren;Birth surplus or deficit;9
2007;11 Aegidii;Birth surplus or deficit;-10
2007;12 ueberwasser;Birth surplus or deficit;-2
2007;13 Dom;Birth surplus or deficit;5
2007;14 Buddenturm;Birth surplus or deficit;-36
2007;15 Martini;Birth surplus or deficit;-2
2007;21 Pluggendorf;Birth surplus or deficit;-61
2007;22 Josef;Birth surplus or deficit;29
2007;23 Bahnhof;Birth surplus or deficit;-2
2007;24 Hansaplatz;Birth surplus or deficit;22
2007;25 Mauritz-West;Birth surplus or deficit;24
2007;26 Schlachthof;Birth surplus or deficit;6
2007;27 Kreuz;Birth surplus or deficit;22
2007;28 Neutor;Birth surplus or deficit;7
2007;29 Schloss;Birth surplus or deficit;5
2007;31 Aaseestadt;Birth surplus or deficit;0
2007;32 Geist;Birth surplus or deficit;19
2007;33 Schuetzenhof;Birth surplus or deficit;11
2007;34 Dueesberg;Birth surplus or deficit;-37
2007;43 Hafen;Birth surplus or deficit;-5
2007;44 Herz-Jesu;Birth surplus or deficit;-58
2007;45 Mauritz-Mitte;Birth surplus or deficit;2
2007;46 Rumphorst;Birth surplus or deficit;8
2007;47 Uppenberg;Birth surplus or deficit;-6
2007;51 Gievenbeck;Birth surplus or deficit;85
2007;52 Sentrup;Birth surplus or deficit;-23
2007;54 Mecklenbeck;Birth surplus or deficit;-20
2007;56 Albachten;Birth surplus or deficit;34
2007;57 Roxel;Birth surplus or deficit;43
2007;58 Nienberge;Birth surplus or deficit;-10
2007;61 Coerde;Birth surplus or deficit;51
2007;62 Kinderhaus-Ost;Birth surplus or deficit;12
2007;63 Kinderhaus-West;Birth surplus or deficit;28
2007;68 Sprakel;Birth surplus or deficit;-14
2007;71 Mauritz-Ost;Birth surplus or deficit;-7
2007;76 Gelmer-Dyckburg;Birth surplus or deficit;11
2007;77 Handorf;Birth surplus or deficit;-1
2007;81 Gremmendorf-West;Birth surplus or deficit;5
2007;82 Gremmendorf-Ost;Birth surplus or deficit;12
2007;86 Angelmodde;Birth surplus or deficit;-22
2007;87 Wolbeck;Birth surplus or deficit;-4
2007;91 Berg Fidel;Birth surplus or deficit;-8
2007;95 Hiltrup-Ost;Birth surplus or deficit;-12
2007;96 Hiltrup-Mitte;Birth surplus or deficit;-39
2007;97 Hiltrup-West;Birth surplus or deficit;46
2007;98 Amelsbueren;Birth surplus or deficit;13
2008;11 Aegidii;Birth surplus or deficit;-15
2008;12 ueberwasser;Birth surplus or deficit;2
2008;13 Dom;Birth surplus or deficit;-4
2008;14 Buddenturm;Birth surplus or deficit;-32
2008;15 Martini;Birth surplus or deficit;-1
2008;21 Pluggendorf;Birth surplus or deficit;-43
2008;22 Josef;Birth surplus or deficit;13
2008;23 Bahnhof;Birth surplus or deficit;0
2008;24 Hansaplatz;Birth surplus or deficit;29
2008;25 Mauritz-West;Birth surplus or deficit;24
2008;26 Schlachthof;Birth surplus or deficit;18
2008;27 Kreuz;Birth surplus or deficit;35
2008;28 Neutor;Birth surplus or deficit;10
2008;29 Schloss;Birth surplus or deficit;-2
2008;31 Aaseestadt;Birth surplus or deficit;-4
2008;32 Geist;Birth surplus or deficit;1
