ZEIT;RAUM;Reason;WERT
2015;96 Hiltrup-Mitte;Birth surplus or deficit;-55
2015;97 Hiltrup-West;Birth surplus or deficit;54
2015;98 Amelsbueren;Birth surplus or deficit;12
2016;11 Aegidii;Birth surplus or deficit;-3
2016;12 ueberwasser;Birth surplus or deficit;5
2016;13 Dom;Birth surplus or deficit;-1
2016;14 Buddenturm;Birth surplus or deficit;-24
2016;15 Martini;Birth surplus or deficit;3
2016;21 Pluggendorf;Birth surplus or deficit;-35
2016;22 Josef;Birth surplus or deficit;60
2016;23 Bahnhof;Birth surplus or deficit;8
2016;24 Hansaplatz;Birth surplus or deficit;30
2016;25 Mauritz-West;Birth surplus or deficit;63
2016;26 Schlachthof;Birth surplus or deficit;34
2016;27 Kreuz;Birth surplus or deficit;98
2016;28 Neutor;Birth surplus or deficit;13
2016;29 Schloss;Birth surplus or deficit;-7
2016;31 Aaseestadt;Birth surplus or deficit;9
2016;32 Geist;Birth surplus or deficit;27
2016;33 Schuetzenhof;Birth surplus or deficit;14
2016;34 Dueesberg;Birth surplus or deficit;-20
2016;43 Hafen;Birth surplus or deficit;6
2016;44 Herz-Jesu;Birth surplus or deficit;-66
2016;45 Mauritz-Mitte;Birth surplus or deficit;32
2016;46 Rumphorst;Birth surplus or deficit;34
2016;47 Uppenberg;Birth surplus or deficit;-4
2016;51 Gievenbeck;Birth surplus or deficit;96
2016;52 Sentrup;Birth surplus or deficit;21
2016;54 Mecklenbeck;Birth surplus or deficit;-6
2016;56 Albachten;Birth surplus or deficit;4
2016;57 Roxel;Birth surplus or deficit;7
2016;58 Nienberge;Birth surplus or deficit;1
2016;61 Coerde;Birth surplus or deficit;55
2016;62 Kinderhaus-Ost;Birth surplus or deficit;4
2016;63 Kinderhaus-West;Birth surplus or deficit;2
2016;68 Sprakel;Birth surplus or deficit;10
2016;71 Mauritz-Ost;Birth surplus or deficit;21
2016;76 Gelmer-Dyckburg;Birth surplus or deficit;11
2016;77 Handorf;Birth surplus or deficit;-5
2016;81 Gremmendorf-West;Birth surplus or deficit;48
2016;82 Gremmendorf-Ost;Birth surplus or deficit;19
2016;86 Angelmodde;Birth surplus or deficit;22
2016;87 Wolbeck;Birth surplus or deficit;12
2016;91 Berg Fidel;Birth surplus or deficit;-9
2016;95 Hiltrup-Ost;Birth surplus or deficit;-8
2016;96 Hiltrup-Mitte;Birth surplus or deficit;-46
2016;97 Hiltrup-West;Birth surplus or deficit;44
2016;98 Amelsbueren;Birth surplus or deficit;-6
2017;11 Aegidii;Birth surplus or deficit;-13
2017;12 ueberwasser;Birth surplus or deficit;-1
2017;13 Dom;Birth surplus or deficit;-4
2017;14 Buddenturm;Birth surplus or deficit;-25
2017;15 Martini;Birth surplus or deficit;7
2017;21 Pluggendorf;Birth surplus or deficit;-47
2017;22 Josef;Birth surplus or deficit;32
2017;23 Bahnhof;Birth surplus or deficit;8
2017;24 Hansaplatz;Birth surplus or deficit;33
2017;25 Mauritz-West;Birth surplus or deficit;33
2017;26 Schlachthof;Birth surplus or deficit;17
2017;27 Kreuz;Birth surplus or deficit;31
2017;28 Neutor;Birth surplus or deficit;26
2017;29 Schloss;Birth surplus or deficit;-10
2017;31 Aaseestadt;Birth surplus or deficit;13
2017;32 Geist;Birth surplus or deficit;31
2017;33 Schuetzenhof;Birth surplus or deficit;44
2017;34 Dueesberg;Birth surplus or deficit;-24
2017;43 Hafen;Birth surplus or deficit;6
2017;44 Herz-Jesu;Birth surplus or deficit;-62
2017;45 Mauritz-Mitte;Birth surplus or deficit;22
2017;46 Rumphorst;Birth surplus or deficit;22
2017;47 Uppenberg;Birth surplus or deficit;37
2017;51 Gievenbeck;Birth surplus or deficit;103
2017;52 Sentrup;Birth surplus or deficit;14
2017;54 Mecklenbeck;Birth surplus or deficit;2
2017;56 Albachten;Birth surplus or deficit;4
2017;57 Roxel;Birth surplus or deficit;37
2017;58 Nienberge;Birth surplus or deficit;9
2017;61 Coerde;Birth surplus or deficit;54
2017;62 Kinderhaus-Ost;Birth surplus or deficit;27
2017;63 Kinderhaus-West;Birth surplus or deficit;-7
2017;68 Sprakel;Birth surplus or deficit;10
2017;71 Mauritz-Ost;Birth surplus or deficit;4
2017;76 Gelmer-Dyckburg;Birth surplus or deficit;9
2017;77 Handorf;Birth surplus or deficit;-19
2017;81 Gremmendorf-West;Birth surplus or deficit;43
2017;82 Gremmendorf-Ost;Birth surplus or deficit;15
2017;86 Angelmodde;Birth surplus or deficit;32
2017;87 Wolbeck;Birth surplus or deficit;6
2017;91 Berg Fidel;Birth surplus or deficit;-6
2017;95 Hiltrup-Ost;Birth surplus or deficit;-30
2017;96 Hiltrup-Mitte;Birth surplus or deficit;-88
2017;97 Hiltrup-West;Birth surplus or deficit;57
2017;98 Amelsbueren;Birth surplus or deficit;-6
2018;11 Aegidii;Birth surplus or deficit;-11
2018;12 ueberwasser;Birth surplus or deficit;3
2018;13 Dom;Birth surplus or deficit;-6
2018;14 Buddenturm;Birth surplus or deficit;-25
2018;15 Martini;Birth surplus or deficit;1
2018;21 Pluggendorf;Birth surplus or deficit;-24
2018;22 Josef;Birth surplus or deficit;54
2018;23 Bahnhof;Birth surplus or deficit;5
2018;24 Hansaplatz;Birth surplus or deficit;29
2018;25 Mauritz-West;Birth surplus or deficit;47
2018;26 Schlachthof;Birth surplus or deficit;29
2018;27 Kreuz;Birth surplus or deficit;55
2018;28 Neutor;Birth surplus or deficit;33
2018;29 Schloss;Birth surplus or deficit;1
2018;31 Aaseestadt;Birth surplus or deficit;7
2018;32 Geist;Birth surplus or deficit;16
2018;33 Schuetzenhof;Birth surplus or deficit;36
2018;34 Dueesberg;Birth surplus or deficit;-27
2018;43 Hafen;Birth surplus or deficit;18
2018;44 Herz-Jesu;Birth surplus or deficit;-45
2018;45 Mauritz-Mitte;Birth surplus or deficit;32
2018;46 Rumphorst;Birth surplus or deficit;40
2018;47 Uppenberg;Birth surplus or deficit;11
2018;51 Gievenbeck;Birth surplus or deficit;60
2018;52 Sentrup;Birth surplus or deficit;5
2018;54 Mecklenbeck;Birth surplus or deficit;-33
2018;56 Albachten;Birth surplus or deficit;18
2018;57 Roxel;Birth surplus or deficit;0
2018;58 Nienberge;Birth surplus or deficit;-7
2018;61 Coerde;Birth surplus or deficit;53
2018;62 Kinderhaus-Ost;Birth surplus or deficit;13
2018;63 Kinderhaus-West;Birth surplus or deficit;17
2018;68 Sprakel;Birth surplus or deficit;13
2018;71 Mauritz-Ost;Birth surplus or deficit;16
2018;76 Gelmer-Dyckburg;Birth surplus or deficit;24
2018;77 Handorf;Birth surplus or deficit;-19
2018;81 Gremmendorf-West;Birth surplus or deficit;28
2018;82 Gremmendorf-Ost;Birth surplus or deficit;32
2018;86 Angelmodde;Birth surplus or deficit;11
2018;87 Wolbeck;Birth surplus or deficit;14
2018;91 Berg Fidel;Birth surplus or deficit;-6
2018;95 Hiltrup-Ost;Birth surplus or deficit;-7
2018;96 Hiltrup-Mitte;Birth surplus or deficit;-54
2018;97 Hiltrup-West;Birth surplus or deficit;70
2018;98 Amelsbueren;Birth surplus or deficit;-24
2019;11 Aegidii;Birth surplus or deficit;-12
2019;12 ueberwasser;Birth surplus or deficit;-1
2019;13 Dom;Birth surplus or deficit;0
2019;14 Buddenturm;Birth surplus or deficit;-34
2019;15 Martini;Birth surplus or deficit;0
2019;21 Pluggendorf;Birth surplus or deficit;-42
2019;22 Josef;Birth surplus or deficit;61
2019;23 Bahnhof;Birth surplus or deficit;6
2019;24 Hansaplatz;Birth surplus or deficit;47
2019;25 Mauritz-West;Birth surplus or deficit;63
2019;26 Schlachthof;Birth surplus or deficit;14
2019;27 Kreuz;Birth surplus or deficit;70
2019;28 Neutor;Birth surplus or deficit;15
2019;29 Schloss;Birth surplus or deficit;-14
2019;31 Aaseestadt;Birth surplus or deficit;7
2019;32 Geist;Birth surplus or deficit;24
2019;33 Schuetzenhof;Birth surplus or deficit;53
2019;34 Dueesberg;Birth surplus or deficit;-24
2019;43 Hafen;Birth surplus or deficit;14
2019;44 Herz-Jesu;Birth surplus or deficit;-58
2019;45 Mauritz-Mitte;Birth surplus or deficit;41
2019;46 Rumphorst;Birth surplus or deficit;7
2019;47 Uppenberg;Birth surplus or deficit;32
2019;51 Gievenbeck;Birth surplus or deficit;75
2019;52 Sentrup;Birth surplus or deficit;-8
2019;54 Mecklenbeck;Birth surplus or deficit;-29
2019;56 Albachten;Birth surplus or deficit;9
2019;57 Roxel;Birth surplus or deficit;4
2019;58 Nienberge;Birth surplus or deficit;-15
2019;61 Coerde;Birth surplus or deficit;53
2019;62 Kinderhaus-Ost;Birth surplus or deficit;23
2019;63 Kinderhaus-West;Birth surplus or deficit;23
2019;68 Sprakel;Birth surplus or deficit;12
2019;71 Mauritz-Ost;Birth surplus or deficit;8
2019;76 Gelmer-Dyckburg;Birth surplus or deficit;-5
2019;77 Handorf;Birth surplus or deficit;-24
2019;81 Gremmendorf-West;Birth surplus or deficit;24
2019;82 Gremmendorf-Ost;Birth surplus or deficit;28
2019;86 Angelmodde;Birth surplus or deficit;40
2019;87 Wolbeck;Birth surplus or deficit;-3
2019;91 Berg Fidel;Birth surplus or deficit;-34
2019;95 Hiltrup-Ost;Birth surplus or deficit;-8
2019;96 Hiltrup-Mitte;Birth surplus or deficit;-58
2019;97 Hiltrup-West;Birth surplus or deficit;38
2019;98 Amelsbueren;Birth surplus or deficit;-11
2020;11 Aegidii;Birth surplus or deficit;-14
2020;12 ueberwasser;Birth surplus or deficit;1
2020;13 Dom;Birth surplus or deficit;10
2020;14 Buddenturm;Birth surplus or deficit;-22
2020;15 Martini;Birth surplus or deficit;5
2020;21 Pluggendorf;Birth surplus or deficit;-33
2020;22 Josef;Birth surplus or deficit;66
2020;23 Bahnhof;Birth surplus or deficit;2
2020;24 Hansaplatz;Birth surplus or deficit;57
2020;25 Mauritz-West;Birth surplus or deficit;49
2020;26 Schlachthof;Birth surplus or deficit;29
2020;27 Kreuz;Birth surplus or deficit;71
2020;28 Neutor;Birth surplus or deficit;27
2020;29 Schloss;Birth surplus or deficit;-12
2020;31 Aaseestadt;Birth surplus or deficit;22
2020;32 Geist;Birth surplus or deficit;4
2020;33 Schuetzenhof;Birth surplus or deficit;38
2020;34 Dueesberg;Birth surplus or deficit;-15
2020;43 Hafen;Birth surplus or deficit;8
2020;44 Herz-Jesu;Birth surplus or deficit;-43
2020;45 Mauritz-Mitte;Birth surplus or deficit;17
2020;46 Rumphorst;Birth surplus or deficit;32
2020;47 Uppenberg;Birth surplus or deficit;3
2020;51 Gievenbeck;Birth surplus or deficit;49
2020;52 Sentrup;Birth surplus or deficit;-22
2020;54 Mecklenbeck;Birth surplus or deficit;-22
2020;56 Albachten;Birth surplus or deficit;12
2020;57 Roxel;Birth surplus or deficit;13
2020;58 Nienberge;Birth surplus or deficit;6
2020;61 Coerde;Birth surplus or deficit;12
2020;62 Kinderhaus-Ost;Birth surplus or deficit;21
2020;63 Kinderhaus-West;Birth surplus or deficit;15
2020;68 Sprakel;Birth surplus or deficit;-7
2020;71 Mauritz-Ost;Birth surplus or deficit;11
2020;76 Gelmer-Dyckburg;Birth surplus or deficit;5
2020;77 Handorf;Birth surplus or deficit;-6
2020;81 Gremmendorf-West;Birth surplus or deficit;41
2020;82 Gremmendorf-Ost;Birth surplus or deficit;0
2020;86 Angelmodde;Birth surplus or deficit;22
2020;87 Wolbeck;Birth surplus or deficit;-21
2020;91 Berg Fidel;Birth surplus or deficit;-10
2020;95 Hiltrup-Ost;Birth surplus or deficit;-22
2020;96 Hiltrup-Mitte;Birth surplus or deficit;-39
2020;97 Hiltrup-West;Birth surplus or deficit;23
2020;98 Amelsbueren;Birth surplus or deficit;-24
2004;11 Aegidii;Other population gains or losses;-16
2004;12 ueberwasser;Other population gains or losses;-9
2004;13 Dom;Other population gains or losses;-20
2004;14 Buddenturm;Other population gains or losses;-9
2004;15 Martini;Other population gains or losses;-10
2004;21 Pluggendorf;Other population gains or losses;-42
2004;22 Josef;Other population gains or losses;-70
2004;23 Bahnhof;Other population gains or losses;-7
2004;24 Hansaplatz;Other population gains or losses;-46
2004;25 Mauritz-West;Other population gains or losses;-26
2004;26 Schlachthof;Other population gains or losses;-12
2004;27 Kreuz;Other population gains or losses;-61
2004;28 Neutor;Other population gains or losses;-48
2004;29 Schloss;Other population gains or losses;-22
2004;31 Aaseestadt;Other population gains or losses;-36
2004;32 Geist;Other population gains or losses;-47
2004;33 Schuetzenhof;Other population gains or losses;-25
2004;34 Dueesberg;Other population gains or losses;-27
2004;43 Hafen;Other population gains or losses;-23
2004;44 Herz-Jesu;Other population gains or losses;-24
2004;45 Mauritz-Mitte;Other population gains or losses;-37
2004;46 Rumphorst;Other population gains or losses;-16
2004;47 Uppenberg;Other population gains or losses;-63
2004;51 Gievenbeck;Other population gains or losses;-356
2004;52 Sentrup;Other population gains or losses;-142
2004;54 Mecklenbeck;Other population gains or losses;-63
2004;56 Albachten;Other population gains or losses;-11
2004;57 Roxel;Other population gains or losses;-26
2004;58 Nienberge;Other population gains or losses;-82
2004;61 Coerde;Other population gains or losses;-97
2004;62 Kinderhaus-Ost;Other population gains or losses;-37
2004;63 Kinderhaus-West;Other population gains or losses;-60
2004;68 Sprakel;Other population gains or losses;-5
2004;71 Mauritz-Ost;Other population gains or losses;-39
2004;76 Gelmer-Dyckburg;Other population gains or losses;-15
2004;77 Handorf;Other population gains or losses;-22
2004;81 Gremmendorf-West;Other population gains or losses;-28
2004;82 Gremmendorf-Ost;Other population gains or losses;-34
2004;86 Angelmodde;Other population gains or losses;-55
2004;87 Wolbeck;Other population gains or losses;-47
2004;91 Berg Fidel;Other population gains or losses;-31
2004;95 Hiltrup-Ost;Other population gains or losses;-21
2004;96 Hiltrup-Mitte;Other population gains or losses;-41
2004;97 Hiltrup-West;Other population gains or losses;-42
2004;98 Amelsbueren;Other population gains or losses;-23
2005;11 Aegidii;Other population gains or losses;-34
2005;12 ueberwasser;Other population gains or losses;-42
2005;13 Dom;Other population gains or losses;-65
2005;14 Buddenturm;Other population gains or losses;-59
2005;15 Martini;Other population gains or losses;-34
2005;21 Pluggendorf;Other population gains or losses;-101
2005;22 Josef;Other population gains or losses;-159
2005;23 Bahnhof;Other population gains or losses;-30
2005;24 Hansaplatz;Other population gains or losses;-120
2005;25 Mauritz-West;Other population gains or losses;-92
2005;26 Schlachthof;Other population gains or losses;-67
2005;27 Kreuz;Other population gains or losses;-203
2005;28 Neutor;Other population gains or losses;-134
2005;29 Schloss;Other population gains or losses;-46
2005;31 Aaseestadt;Other population gains or losses;-87
2005;32 Geist;Other population gains or losses;-86
2005;33 Schuetzenhof;Other population gains or losses;-89
2005;34 Dueesberg;Other population gains or losses;-67
2005;43 Hafen;Other population gains or losses;-39
2005;44 Herz-Jesu;Other population gains or losses;-69
2005;45 Mauritz-Mitte;Other population gains or losses;-78
2005;46 Rumphorst;Other population gains or losses;-73
2005;47 Uppenberg;Other population gains or losses;-118
2005;51 Gievenbeck;Other population gains or losses;-308
2005;52 Sentrup;Other population gains or losses;-177
2005;54 Mecklenbeck;Other population gains or losses;-141
2005;56 Albachten;Other population gains or losses;-54
2005;57 Roxel;Other population gains or losses;-81
2005;58 Nienberge;Other population gains or losses;-65
2005;61 Coerde;Other population gains or losses;-175
2005;62 Kinderhaus-Ost;Other population gains or losses;-73
2005;63 Kinderhaus-West;Other population gains or losses;-154
2005;68 Sprakel;Other population gains or losses;-22
2005;71 Mauritz-Ost;Other population gains or losses;-89
2005;76 Gelmer-Dyckburg;Other population gains or losses;-19
2005;77 Handorf;Other population gains or losses;-50
2005;81 Gremmendorf-West;Other population gains or losses;-27
2005;82 Gremmendorf-Ost;Other population gains or losses;-31
2005;86 Angelmodde;Other population gains or losses;-92
2005;87 Wolbeck;Other population gains or losses;-59
2005;91 Berg Fidel;Other population gains or losses;-71
2005;95 Hiltrup-Ost;Other population gains or losses;-25
2005;96 Hiltrup-Mitte;Other population gains or losses;-77
2005;97 Hiltrup-West;Other population gains or losses;-63
2005;98 Amelsbueren;Other population gains or losses;-19
2006;11 Aegidii;Other population gains or losses;-11
2006;12 ueberwasser;Other population gains or losses;-16
2006;13 Dom;Other population gains or losses;-16
2006;14 Buddenturm;Other population gains or losses;-17
2006;15 Martini;Other population gains or losses;0
2006;21 Pluggendorf;Other population gains or losses;-52
2006;22 Josef;Other population gains or losses;-56
2006;23 Bahnhof;Other population gains or losses;-22
2006;24 Hansaplatz;Other population gains or losses;-58
2006;25 Mauritz-West;Other population gains or losses;-32
2006;26 Schlachthof;Other population gains or losses;-35
2006;27 Kreuz;Other population gains or losses;-79
2006;28 Neutor;Other population gains or losses;-44
2006;29 Schloss;Other population gains or losses;-9
2006;31 Aaseestadt;Other population gains or losses;-33
2006;32 Geist;Other population gains or losses;-48
2006;33 Schuetzenhof;Other population gains or losses;-54
2006;34 Dueesberg;Other population gains or losses;-31
2006;43 Hafen;Other population gains or losses;-15
2006;44 Herz-Jesu;Other population gains or losses;-24
2006;45 Mauritz-Mitte;Other population gains or losses;-36
2006;46 Rumphorst;Other population gains or losses;-27
2006;47 Uppenberg;Other population gains or losses;-35
2006;51 Gievenbeck;Other population gains or losses;-213
2006;52 Sentrup;Other population gains or losses;-56
2006;54 Mecklenbeck;Other population gains or losses;-65
2006;56 Albachten;Other population gains or losses;-31
2006;57 Roxel;Other population gains or losses;-37
2006;58 Nienberge;Other population gains or losses;-36
2006;61 Coerde;Other population gains or losses;-138
2006;62 Kinderhaus-Ost;Other population gains or losses;-51
2006;63 Kinderhaus-West;Other population gains or losses;-142
2006;68 Sprakel;Other population gains or losses;-14
2006;71 Mauritz-Ost;Other population gains or losses;-68
2006;76 Gelmer-Dyckburg;Other population gains or losses;-3
2006;77 Handorf;Other population gains or losses;-21
2006;81 Gremmendorf-West;Other population gains or losses;-21
2006;82 Gremmendorf-Ost;Other population gains or losses;-26
2006;86 Angelmodde;Other population gains or losses;-62
2006;87 Wolbeck;Other population gains or losses;-55
2006;91 Berg Fidel;Other population gains or losses;-68
2006;95 Hiltrup-Ost;Other population gains or losses;-24
2006;96 Hiltrup-Mitte;Other population gains or losses;-90
2006;97 Hiltrup-West;Other population gains or losses;-51
2006;98 Amelsbueren;Other population gains or losses;-20
2007;11 Aegidii;Other population gains or losses;-2
2007;12 ueberwasser;Other population gains or losses;-9
2007;13 Dom;Other population gains or losses;-20
2007;14 Buddenturm;Other population gains or losses;-31
2007;15 Martini;Other population gains or losses;-1
2007;21 Pluggendorf;Other population gains or losses;-29
2007;22 Josef;Other population gains or losses;-44
2007;23 Bahnhof;Other population gains or losses;-16
2007;24 Hansaplatz;Other population gains or losses;-55
2007;25 Mauritz-West;Other population gains or losses;-17
2007;26 Schlachthof;Other population gains or losses;-30
2007;27 Kreuz;Other population gains or losses;-90
2007;28 Neutor;Other population gains or losses;-44
2007;29 Schloss;Other population gains or losses;-8
2007;31 Aaseestadt;Other population gains or losses;-34
2007;32 Geist;Other population gains or losses;-35
2007;33 Schuetzenhof;Other population gains or losses;-24
2007;34 Dueesberg;Other population gains or losses;-1
2007;43 Hafen;Other population gains or losses;-8
2007;44 Herz-Jesu;Other population gains or losses;-20
2007;45 Mauritz-Mitte;Other population gains or losses;-45
2007;46 Rumphorst;Other population gains or losses;-30
2007;47 Uppenberg;Other population gains or losses;-60
2007;51 Gievenbeck;Other population gains or losses;-145
2007;52 Sentrup;Other population gains or losses;-77
2007;54 Mecklenbeck;Other population gains or losses;-42
2007;56 Albachten;Other population gains or losses;-34
2007;57 Roxel;Other population gains or losses;-32
2007;58 Nienberge;Other population gains or losses;-5
2007;61 Coerde;Other population gains or losses;-58
2007;62 Kinderhaus-Ost;Other population gains or losses;-17
2007;63 Kinderhaus-West;Other population gains or losses;-104
2007;68 Sprakel;Other population gains or losses;-8
2007;71 Mauritz-Ost;Other population gains or losses;-21
2007;76 Gelmer-Dyckburg;Other population gains or losses;-26
2007;77 Handorf;Other population gains or losses;-13
2007;81 Gremmendorf-West;Other population gains or losses;-15
2007;82 Gremmendorf-Ost;Other population gains or losses;-14
2007;86 Angelmodde;Other population gains or losses;-50
2007;87 Wolbeck;Other population gains or losses;-22
2007;91 Berg Fidel;Other population gains or losses;-45
2007;95 Hiltrup-Ost;Other population gains or losses;-18
2007;96 Hiltrup-Mitte;Other population gains or losses;-39
2007;97 Hiltrup-West;Other population gains or losses;-39
2007;98 Amelsbueren;Other population gains or losses;-14
2008;11 Aegidii;Other population gains or losses;1
2008;12 ueberwasser;Other population gains or losses;1
2008;13 Dom;Other population gains or losses;14
2008;14 Buddenturm;Other population gains or losses;-41
2008;15 Martini;Other population gains or losses;3
2008;21 Pluggendorf;Other population gains or losses;-5
2008;22 Josef;Other population gains or losses;-85
2008;23 Bahnhof;Other population gains or losses;-36
2008;24 Hansaplatz;Other population gains or losses;-8
2008;25 Mauritz-West;Other population gains or losses;23
2008;26 Schlachthof;Other population gains or losses;-15
2008;27 Kreuz;Other population gains or losses;-38
2008;28 Neutor;Other population gains or losses;-50
2008;29 Schloss;Other population gains or losses;-21
2008;31 Aaseestadt;Other population gains or losses;-46
2008;32 Geist;Other population gains or losses;-44
2008;33 Schuetzenhof;Other population gains or losses;-12
2008;34 Dueesberg;Other population gains or losses;-34
2008;43 Hafen;Other population gains or losses;-7
2008;44 Herz-Jesu;Other population gains or losses;-21
2008;45 Mauritz-Mitte;Other population gains or losses;-9
2008;46 Rumphorst;Other population gains or losses;-32
2008;47 Uppenberg;Other population gains or losses;-32
2008;51 Gievenbeck;Other population gains or losses;-164
2008;52 Sentrup;Other population gains or losses;3
2008;54 Mecklenbeck;Other population gains or losses;-37
2008;56 Albachten;Other population gains or losses;-4
2008;57 Roxel;Other population gains or losses;-12
2008;58 Nienberge;Other population gains or losses;-16
2008;61 Coerde;Other population gains or losses;-47
2008;62 Kinderhaus-Ost;Other population gains or losses;-46
2008;63 Kinderhaus-West;Other population gains or losses;-84
2008;68 Sprakel;Other population gains or losses;-13
2008;71 Mauritz-Ost;Other population gains or losses;-6
2008;76 Gelmer-Dyckburg;Other population gains or losses;10
2008;77 Handorf;Other population gains or losses;-7
2008;81 Gremmendorf-West;Other population gains or losses;-19
2008;82 Gremmendorf-Ost;Other population gains or losses;-3
2008;86 Angelmodde;Other population gains or losses;-29
2008;87 Wolbeck;Other population gains or losses;4
2008;91 Berg Fidel;Other population gains or losses;-10
2008;95 Hiltrup-Ost;Other population gains or losses;-6
2008;96 Hiltrup-Mitte;Other population gains or losses;-22
2008;97 Hiltrup-West;Other population gains or losses;-16
2008;98 Amelsbueren;Other population gains or losses;3
2009;11 Aegidii;Other population gains or losses;0
2009;12 ueberwasser;Other population gains or losses;10
2009;13 Dom;Other population gains or losses;-23
2009;14 Buddenturm;Other population gains or losses;0
2009;15 Martini;Other population gains or losses;4
2009;21 Pluggendorf;Other population gains or losses;12
2009;22 Josef;Other population gains or losses;48
2009;23 Bahnhof;Other population gains or losses;2
2009;24 Hansaplatz;Other population gains or losses;8
2009;25 Mauritz-West;Other population gains or losses;17
2009;26 Schlachthof;Other population gains or losses;-3
2009;27 Kreuz;Other population gains or losses;4
2009;28 Neutor;Other population gains or losses;-50
2009;29 Schloss;Other population gains or losses;-22
2009;31 Aaseestadt;Other population gains or losses;-18
2009;32 Geist;Other population gains or losses;19
2009;33 Schuetzenhof;Other population gains or losses;2
2009;34 Dueesberg;Other population gains or losses;-26
2009;43 Hafen;Other population gains or losses;-7
2009;44 Herz-Jesu;Other population gains or losses;-11
2009;45 Mauritz-Mitte;Other population gains or losses;13
2009;46 Rumphorst;Other population gains or losses;-26
2009;47 Uppenberg;Other population gains or losses;11
2009;51 Gievenbeck;Other population gains or losses;-17
2009;52 Sentrup;Other population gains or losses;1
2009;54 Mecklenbeck;Other population gains or losses;-1
2009;56 Albachten;Other population gains or losses;-13
2009;57 Roxel;Other population gains or losses;-29
2009;58 Nienberge;Other population gains or losses;39
2009;61 Coerde;Other population gains or losses;-43
2009;62 Kinderhaus-Ost;Other population gains or losses;-39
2009;63 Kinderhaus-West;Other population gains or losses;-45
2009;68 Sprakel;Other population gains or losses;2
2009;71 Mauritz-Ost;Other population gains or losses;-55
2009;76 Gelmer-Dyckburg;Other population gains or losses;-17
2009;77 Handorf;Other population gains or losses;-25
2009;81 Gremmendorf-West;Other population gains or losses;-14
2009;82 Gremmendorf-Ost;Other population gains or losses;-12
2009;86 Angelmodde;Other population gains or losses;-50
2009;87 Wolbeck;Other population gains or losses;-49
2009;91 Berg Fidel;Other population gains or losses;-40
2009;95 Hiltrup-Ost;Other population gains or losses;-28
2009;96 Hiltrup-Mitte;Other population gains or losses;-25
2009;97 Hiltrup-West;Other population gains or losses;-25
2009;98 Amelsbueren;Other population gains or losses;-14
2010;11 Aegidii;Other population gains or losses;-1
2010;12 ueberwasser;Other population gains or losses;20
2010;13 Dom;Other population gains or losses;33
2010;14 Buddenturm;Other population gains or losses;29
2010;15 Martini;Other population gains or losses;16
2010;21 Pluggendorf;Other population gains or losses;23
2010;22 Josef;Other population gains or losses;53
2010;23 Bahnhof;Other population gains or losses;25
2010;24 Hansaplatz;Other population gains or losses;46
2010;25 Mauritz-West;Other population gains or losses;98
2010;26 Schlachthof;Other population gains or losses;51
2010;27 Kreuz;Other population gains or losses;124
2010;28 Neutor;Other population gains or losses;110
2010;29 Schloss;Other population gains or losses;21
2010;31 Aaseestadt;Other population gains or losses;27
2010;32 Geist;Other population gains or losses;44
2010;33 Schuetzenhof;Other population gains or losses;46
2010;34 Dueesberg;Other population gains or losses;48
2010;43 Hafen;Other population gains or losses;5
2010;44 Herz-Jesu;Other population gains or losses;31
2010;45 Mauritz-Mitte;Other population gains or losses;71
2010;46 Rumphorst;Other population gains or losses;40
2010;47 Uppenberg;Other population gains or losses;25
2010;51 Gievenbeck;Other population gains or losses;89
2010;52 Sentrup;Other population gains or losses;27
2010;54 Mecklenbeck;Other population gains or losses;-19
2010;56 Albachten;Other population gains or losses;19
2010;57 Roxel;Other population gains or losses;37
2010;58 Nienberge;Other population gains or losses;15
2010;61 Coerde;Other population gains or losses;-9
2010;62 Kinderhaus-Ost;Other population gains or losses;22
2010;63 Kinderhaus-West;Other population gains or losses;0
2010;68 Sprakel;Other population gains or losses;-2
2010;71 Mauritz-Ost;Other population gains or losses;57
2010;76 Gelmer-Dyckburg;Other population gains or losses;12
2010;77 Handorf;Other population gains or losses;44
2010;81 Gremmendorf-West;Other population gains or losses;4
2010;82 Gremmendorf-Ost;Other population gains or losses;33
2010;86 Angelmodde;Other population gains or losses;0
2010;87 Wolbeck;Other population gains or losses;22
2010;91 Berg Fidel;Other population gains or losses;15
2010;95 Hiltrup-Ost;Other population gains or losses;16
2010;96 Hiltrup-Mitte;Other population gains or losses;47
2010;97 Hiltrup-West;Other population gains or losses;7
2010;98 Amelsbueren;Other population gains or losses;13
2011;11 Aegidii;Other population gains or losses;140
2011;12 ueberwasser;Other population gains or losses;195
2011;13 Dom;Other population gains or losses;203
2011;14 Buddenturm;Other population gains or losses;211
2011;15 Martini;Other population gains or losses;121
2011;21 Pluggendorf;Other population gains or losses;497
2011;22 Josef;Other population gains or losses;603
2011;23 Bahnhof;Other population gains or losses;94
2011;24 Hansaplatz;Other population gains or losses;431
2011;25 Mauritz-West;Other population gains or losses;363
2011;26 Schlachthof;Other population gains or losses;252
2011;27 Kreuz;Other population gains or losses;939
2011;28 Neutor;Other population gains or losses;562
2011;29 Schloss;Other population gains or losses;152
2011;31 Aaseestadt;Other population gains or losses;244
2011;32 Geist;Other population gains or losses;355
2011;33 Schuetzenhof;Other population gains or losses;450
2011;34 Dueesberg;Other population gains or losses;229
2011;43 Hafen;Other population gains or losses;67
